id,nome,estado,nota_matematica,nota_linguagens,nota_ciencias,nota_redacao,ano
75,Ana Souza,SC,501.68,707.49,542.59,415.53,2024-01-01
76,Eduarda Rocha,PE,620.47,844.16,655.14,764.1,2021-01-01
77,Nicolas Pires,MG,820.11,409.04,456.09,529.15,2024-01-01
78,Karen Ribeiro,PR,756.74,527.48,751.21,882.35,2023-01-01
80,Bruno Lima,SP,869.77,419.62,312.23,406.67,2022-01-01
81,Paulo Henrique,RJ,638.38,430.78,719.68,836.83,2022-01-01
83,Diego Alves,PE,315.41,487.17,706.41,970.72,2024-01-01
85,Vinicius Araujo,RJ,777.74,639.56,324.64,672.92,2023-01-01
86,Carla Mendes,GO,688.53,307.59,552.04,643.14,2024-01-01
87,Lucas Teixeira,RS,724.39,561.29,740.28,975.83,2023-01-01
88,Vinicius Araujo,GO,764.78,578.92,795.44,714.73,2023-01-01
89,Henrique Barros,RJ,467.36,570.48,750.29,698.89,2024-01-01
90,Karen Ribeiro,SP,596.58,495.01,592.53,548.38,2023-01-01
91,Karen Ribeiro,BA,828.19,720.71,465.76,307.11,2022-01-01
93,Olivia Nogueira,SP,355.83,432.96,715.07,514.34,2023-01-01
94,Paulo Henrique,GO,618.55,555.3,747.56,531.55,2024-01-01
95,Isabela Duarte,BA,450.84,372.39,415.55,383.69,2022-01-01
96,Gabriela Costa,ES,743.16,465.9,653.75,832.15,2023-01-01
98,Isabela Duarte,SP,884.58,632.02,718.45,388.4,2024-01-01
100,Isabela Duarte,RS,368.45,339.21,595.05,703.91,2021-01-01
101,Eduarda Rocha,MG,786.69,869.48,351.11,473.73,2024-01-01
102,Vinicius Araujo,PE,774.44,435.41,613.54,615.36,2024-01-01
103,João Pedro,PE,894.02,483.23,672.62,726.74,2021-01-01
104,Gabriela Costa,ES,458.79,348.71,443.92,686.39,2022-01-01
105,Ana Souza,SC,570.3,656.29,474.76,462.03,2023-01-01
106,Olivia Nogueira,RJ,712.43,854.35,772.7,737.54,2022-01-01
107,Nicolas Pires,RJ,626.74,688.58,845.05,878.64,2021-01-01
108,Bruno Lima,MG,775.58,657.03,794.54,944.83,2024-01-01
110,Olivia Nogueira,RJ,658.82,833.65,740.72,722.6,2021-01-01
111,Carla Mendes,ES,877.15,801.58,645.12,965.55,2023-01-01
112,Tatiane Moraes,SP,757.87,405.11,611.38,609.56,2023-01-01
113,Felipe Martins,PE,561.53,788.55,881.43,629.01,2024-01-01
114,Karen Ribeiro,PR,702.08,814.64,497.88,785.57,2023-01-01
115,Mariana Freitas,GO,322.02,352.84,451.44,381.15,2024-01-01
116,Renata Batista,SP,694.6,625.56,547.95,431.31,2023-01-01
117,Vinicius Araujo,RS,675.25,755.99,422.13,684.45,2023-01-01
118,Olivia Nogueira,RS,372.86,883.89,665.32,467.51,2022-01-01
119,João Pedro,GO,308.2,544.79,434.82,888.98,2021-01-01
120,Olivia Nogueira,RJ,688.63,392.38,859.59,504.3,2023-01-01
121,Nicolas Pires,RS,888.15,446.24,630.76,568.51,2022-01-01
122,Carla Mendes,BA,763.61,812.65,503.93,851.4,2023-01-01
123,Ana Souza,BA,735.63,802.49,647.95,761.96,2022-01-01
124,Olivia Nogueira,GO,590.6,499.46,757.72,564.05,2023-01-01
126,Mariana Freitas,SC,893.05,775.44,691.21,406.47,2021-01-01
127,Eduarda Rocha,GO,879.21,499.2,360.22,891.53,2021-01-01
128,Renata Batista,RS,309.21,386.49,822.56,978.97,2021-01-01
129,Paulo Henrique,BA,503.14,715.62,689.9,896.24,2024-01-01
130,Karen Ribeiro,RS,823.43,321.54,341.05,741.81,2023-01-01
132,Felipe Martins,BA,842.05,327.59,777.69,505.36,2023-01-01
134,Carla Mendes,PE,822.5,671.83,444.5,938.98,2022-01-01
135,Henrique Barros,RS,682.74,575.74,700.1,929.24,2024-01-01
136,João Pedro,GO,394.79,565.04,507.34,711.3,2024-01-01
137,Isabela Duarte,RS,807.18,419.53,530.82,638.25,2022-01-01
138,Mariana Freitas,PE,515.38,477.52,719.57,315.36,2024-01-01
139,Isabela Duarte,SP,639.56,711.48,746.8,334.33,2024-01-01
140,João Pedro,ES,664.24,511.39,681.97,734.62,2022-01-01
141,Diego Alves,SP,485.36,564.49,647.74,812.65,2021-01-01
142,João Pedro,PR,748.49,405.38,379.3,677.59,2023-01-01
143,Renata Batista,GO,848.09,798.28,454.18,877.28,2024-01-01
144,João Pedro,PR,782.54,581.0,345.18,827.91,2022-01-01
145,Mariana Freitas,GO,519.47,774.41,308.35,675.6,2024-01-01
146,Lucas Teixeira,BA,650.74,793.45,864.18,375.84,2022-01-01
147,Paulo Henrique,SP,671.73,865.9,496.8,727.06,2021-01-01
148,Olivia Nogueira,BA,689.54,370.01,327.21,326.05,2024-01-01
149,Diego Alves,RJ,440.88,622.53,533.19,559.71,2024-01-01
150,Tatiane Moraes,MG,831.25,692.95,800.22,730.96,2023-01-01
151,Bruno Lima,PR,430.36,566.82,441.67,553.88,2023-01-01
152,Samuel Carvalho,PR,336.33,465.53,880.92,964.31,2024-01-01
154,Eduarda Rocha,PE,423.12,797.89,632.52,710.47,2022-01-01
155,Karen Ribeiro,MG,773.19,657.59,466.36,988.82,2022-01-01
156,Samuel Carvalho,BA,779.11,365.96,819.87,392.26,2023-01-01
157,Henrique Barros,PE,494.26,404.55,331.44,819.2,2021-01-01
159,Vinicius Araujo,SP,736.35,845.25,695.34,511.14,2021-01-01
160,Bruno Lima,RS,808.38,555.76,364.78,798.68,2024-01-01
161,Carla Mendes,RJ,493.27,389.0,375.71,737.02,2023-01-01
162,Mariana Freitas,PE,618.33,572.23,663.26,369.42,2021-01-01
163,Samuel Carvalho,ES,558.04,832.85,548.29,879.19,2024-01-01
164,Nicolas Pires,RJ,487.53,487.51,452.93,967.51,2024-01-01
165,Carla Mendes,RJ,799.06,355.94,357.94,817.16,2022-01-01
166,Samuel Carvalho,SP,651.88,636.95,497.79,385.56,2023-01-01
168,Eduarda Rocha,RS,434.55,364.93,807.22,557.29,2023-01-01
169,Tatiane Moraes,ES,784.33,807.09,884.73,872.9,2021-01-01
170,Vinicius Araujo,BA,317.37,463.96,757.45,945.08,2023-01-01
171,Ana Souza,MG,821.92,639.79,540.47,399.31,2021-01-01
172,Carla Mendes,GO,429.08,551.9,504.54,559.04,2023-01-01
173,Tatiane Moraes,PE,350.97,331.57,394.45,732.49,2021-01-01
174,Isabela Duarte,RS,697.16,591.4,565.23,491.22,2021-01-01
175,Lucas Teixeira,SC,366.53,706.93,655.88,668.85,2023-01-01
176,Bruno Lima,ES,537.16,659.59,304.61,510.99,2022-01-01
177,Eduarda Rocha,BA,473.67,371.99,598.43,601.46,2022-01-01
178,Mariana Freitas,GO,722.2,600.16,800.01,864.34,2021-01-01
179,Mariana Freitas,SP,561.73,575.85,346.72,519.14,2024-01-01
180,Tatiane Moraes,SC,725.7,550.62,369.1,314.6,2023-01-01
181,Felipe Martins,PE,576.06,713.77,517.11,605.7,2021-01-01
182,Henrique Barros,SC,653.32,614.38,537.46,517.19,2023-01-01
184,Lucas Teixeira,PR,736.43,791.37,789.02,465.39,2022-01-01
186,Olivia Nogueira,PE,755.93,569.34,854.49,695.14,2023-01-01
187,Karen Ribeiro,MG,563.86,581.35,678.83,857.43,2021-01-01
188,Lucas Teixeira,GO,344.51,577.05,322.56,558.12,2023-01-01
189,Carla Mendes,RJ,669.01,604.24,577.63,688.02,2021-01-01
190,Olivia Nogueira,PE,691.1,492.92,585.38,405.6,2021-01-01
191,Olivia Nogueira,RJ,786.58,802.43,889.43,359.03,2022-01-01
192,Bruno Lima,ES,724.57,894.59,614.44,726.86,2023-01-01
193,Lucas Teixeira,BA,532.45,764.68,707.34,336.66,2023-01-01
194,Carla Mendes,PR,356.7,707.03,470.49,806.61,2022-01-01
195,Karen Ribeiro,RJ,649.64,384.86,509.89,977.39,2024-01-01
196,Eduarda Rocha,PE,725.3,350.83,635.35,750.45,2023-01-01
197,Eduarda Rocha,GO,356.07,702.27,605.09,312.76,2023-01-01
198,Felipe Martins,ES,505.04,759.69,415.2,999.98,2022-01-01
199,Carla Mendes,BA,806.66,360.68,762.52,884.58,2021-01-01
200,Karen Ribeiro,PE,378.63,526.03,397.35,881.94,2022-01-01
201,Olivia Nogueira,SP,546.52,705.82,442.52,610.94,2023-01-01
202,Olivia Nogueira,ES,620.41,485.68,785.17,628.31,2022-01-01
203,Lucas Teixeira,PE,890.66,577.01,469.06,567.31,2024-01-01
204,Felipe Martins,ES,780.76,383.04,450.0,748.83,2023-01-01
205,Samuel Carvalho,RJ,726.84,609.55,374.81,358.71,2022-01-01
206,Isabela Duarte,RS,843.18,388.41,562.48,962.49,2022-01-01
207,Olivia Nogueira,PR,858.28,548.94,537.87,561.77,2024-01-01
208,Carla Mendes,PR,434.72,491.21,359.45,800.29,2023-01-01
209,Eduarda Rocha,MG,322.98,850.44,583.47,881.78,2024-01-01
210,Olivia Nogueira,PE,303.15,347.54,453.55,884.47,2024-01-01
211,Diego Alves,BA,442.58,373.11,443.06,747.27,2024-01-01
212,Carla Mendes,RJ,802.01,599.9,621.63,742.37,2022-01-01
213,Eduarda Rocha,BA,557.54,668.89,444.34,591.6,2021-01-01
214,Renata Batista,PR,340.61,615.64,604.4,991.83,2021-01-01
215,Mariana Freitas,RS,326.12,532.13,523.98,823.12,2023-01-01
216,Carla Mendes,PR,444.68,694.26,362.2,707.33,2023-01-01
218,Paulo Henrique,MG,786.9,337.86,765.71,620.38,2023-01-01
219,Gabriela Costa,SP,774.67,831.47,489.36,517.05,2024-01-01
220,Samuel Carvalho,RS,451.99,751.97,414.66,549.88,2021-01-01
221,Karen Ribeiro,BA,374.69,520.81,833.69,820.32,2024-01-01
222,Karen Ribeiro,MG,597.72,598.51,854.59,663.49,2021-01-01
223,Nicolas Pires,RJ,558.36,897.06,408.27,505.64,2021-01-01
224,Carla Mendes,PR,696.55,483.9,661.57,598.28,2024-01-01
225,Lucas Teixeira,RS,325.41,822.02,511.54,998.71,2023-01-01
226,Bruno Lima,RJ,702.71,543.73,607.85,824.93,2022-01-01
227,Ana Souza,MG,809.2,706.85,562.9,388.36,2022-01-01
228,Lucas Teixeira,PR,529.71,640.35,663.06,775.34,2023-01-01
229,Lucas Teixeira,RS,757.85,644.35,617.68,578.62,2023-01-01
230,Henrique Barros,RJ,315.55,411.63,610.65,939.48,2021-01-01
231,Isabela Duarte,BA,722.42,428.74,667.13,785.79,2024-01-01
232,Gabriela Costa,RJ,381.44,344.43,403.59,799.36,2021-01-01
233,Karen Ribeiro,PR,725.72,630.0,474.22,509.97,2022-01-01
234,Felipe Martins,PR,605.25,372.82,420.59,397.21,2024-01-01
235,Ana Souza,PR,632.41,521.35,782.2,686.15,2021-01-01
236,Carla Mendes,BA,538.9,730.16,587.2,587.56,2024-01-01
237,Tatiane Moraes,RJ,375.2,490.22,344.5,626.08,2023-01-01
238,Eduarda Rocha,GO,683.88,409.18,879.76,602.83,2021-01-01
239,Diego Alves,GO,391.81,398.79,493.6,796.53,2023-01-01
240,Renata Batista,BA,807.56,450.36,681.03,685.59,2022-01-01
241,João Pedro,PE,620.09,601.54,401.18,959.12,2022-01-01
242,Felipe Martins,PE,732.38,663.08,805.52,694.53,2021-01-01
243,Carla Mendes,SP,869.13,762.61,458.79,447.57,2024-01-01
244,Vinicius Araujo,SP,598.82,676.3,473.8,969.66,2024-01-01
245,Henrique Barros,SC,478.46,343.78,335.95,607.72,2024-01-01
246,Olivia Nogueira,ES,504.12,386.2,816.89,523.52,2023-01-01
247,Mariana Freitas,MG,756.4,608.99,363.71,469.22,2021-01-01
248,Isabela Duarte,RS,448.75,358.09,474.13,568.9,2024-01-01
249,Henrique Barros,MG,788.09,860.25,732.68,432.88,2022-01-01
250,Paulo Henrique,GO,580.09,827.45,598.42,363.03,2024-01-01
251,Renata Batista,RS,880.01,429.09,511.74,335.38,2024-01-01
252,Vinicius Araujo,RS,471.45,304.91,364.5,393.75,2023-01-01
254,Carla Mendes,SC,602.55,758.64,467.83,992.36,2021-01-01
862,Eduarda Rocha,RJ,536.34,776.94,503.45,957.26,2022-01-01
256,Gabriela Costa,PE,605.47,600.05,327.18,395.93,2023-01-01
257,Paulo Henrique,GO,574.19,663.76,609.3,529.58,2023-01-01
258,Felipe Martins,SC,894.37,743.59,479.54,535.46,2024-01-01
259,Tatiane Moraes,BA,584.94,309.98,498.74,376.72,2024-01-01
260,Tatiane Moraes,BA,778.05,735.19,712.83,318.65,2024-01-01
261,Isabela Duarte,PE,646.58,732.84,650.11,419.36,2024-01-01
262,Eduarda Rocha,ES,318.94,868.92,365.94,313.26,2023-01-01
263,Nicolas Pires,MG,547.78,422.34,601.09,728.03,2024-01-01
264,Bruno Lima,MG,611.21,636.53,898.87,634.86,2024-01-01
265,Karen Ribeiro,MG,575.8,619.88,627.76,773.11,2023-01-01
266,Vinicius Araujo,RS,415.36,447.91,634.85,457.41,2023-01-01
267,João Pedro,ES,714.14,593.4,587.88,692.34,2023-01-01
268,João Pedro,RJ,644.09,625.91,837.46,576.17,2023-01-01
269,Eduarda Rocha,BA,325.24,873.19,347.42,946.81,2023-01-01
270,Paulo Henrique,ES,421.24,623.15,859.81,787.32,2022-01-01
271,Diego Alves,PE,744.53,443.57,330.46,933.63,2022-01-01
272,Henrique Barros,SP,360.12,498.18,583.44,776.83,2022-01-01
273,Ana Souza,GO,886.75,394.76,691.74,916.45,2024-01-01
274,Paulo Henrique,ES,753.55,472.35,471.25,341.41,2021-01-01
275,Tatiane Moraes,ES,621.09,733.87,862.0,939.26,2022-01-01
277,João Pedro,SP,305.56,640.78,364.38,988.1,2023-01-01
278,Olivia Nogueira,GO,614.59,833.56,380.52,652.95,2023-01-01
279,Gabriela Costa,RJ,498.41,738.67,688.97,803.02,2021-01-01
280,Karen Ribeiro,BA,640.67,754.37,405.3,899.3,2024-01-01
281,Nicolas Pires,GO,496.76,540.5,357.23,987.18,2024-01-01
282,Karen Ribeiro,ES,304.1,530.14,568.04,486.9,2023-01-01
283,João Pedro,PE,733.73,306.86,692.21,784.94,2021-01-01
284,Diego Alves,RS,484.08,543.25,601.51,926.58,2023-01-01
285,Diego Alves,BA,520.53,432.51,874.42,634.73,2024-01-01
286,Vinicius Araujo,PR,549.51,629.54,582.5,676.26,2022-01-01
287,Henrique Barros,PE,823.88,349.12,568.05,792.64,2021-01-01
288,Tatiane Moraes,RJ,337.05,628.59,603.29,700.89,2022-01-01
289,Felipe Martins,PR,812.69,565.1,708.18,801.84,2024-01-01
291,Samuel Carvalho,RS,703.66,484.9,313.06,478.12,2021-01-01
293,Carla Mendes,RS,319.04,545.32,761.38,836.08,2024-01-01
294,Lucas Teixeira,SC,569.12,850.27,526.5,356.17,2022-01-01
295,Lucas Teixeira,RJ,407.08,622.36,617.31,809.5,2022-01-01
296,Ana Souza,SP,887.09,577.8,731.46,596.89,2024-01-01
297,Henrique Barros,ES,576.38,393.07,413.09,912.65,2021-01-01
298,Bruno Lima,SC,668.95,861.74,833.42,468.47,2021-01-01
299,Diego Alves,PE,320.15,658.67,721.97,334.07,2021-01-01
300,Mariana Freitas,RS,440.6,430.36,818.24,339.51,2023-01-01
301,Henrique Barros,PE,491.34,658.75,703.52,524.47,2023-01-01
302,Eduarda Rocha,GO,432.63,480.3,336.57,963.96,2022-01-01
303,Nicolas Pires,GO,597.37,883.37,864.95,769.94,2023-01-01
304,Nicolas Pires,SC,389.53,525.88,752.65,631.46,2022-01-01
305,João Pedro,MG,783.47,848.84,637.43,977.45,2022-01-01
307,Carla Mendes,GO,734.75,414.29,461.08,771.57,2021-01-01
309,Karen Ribeiro,BA,874.21,309.2,862.3,973.45,2021-01-01
310,Paulo Henrique,ES,717.38,722.26,537.98,467.53,2023-01-01
311,João Pedro,SC,579.75,689.23,485.05,551.75,2024-01-01
312,Olivia Nogueira,RJ,781.69,733.45,756.98,524.16,2022-01-01
313,Lucas Teixeira,PR,548.36,637.51,432.76,402.15,2023-01-01
314,Samuel Carvalho,PE,647.49,550.55,391.45,530.91,2024-01-01
315,Tatiane Moraes,ES,599.58,692.76,710.91,480.13,2024-01-01
316,Paulo Henrique,RS,400.94,776.99,401.56,804.22,2024-01-01
317,Felipe Martins,GO,894.19,874.34,614.37,887.35,2021-01-01
318,Bruno Lima,SP,547.44,805.53,438.86,795.02,2021-01-01
319,Gabriela Costa,GO,573.61,336.27,682.64,953.73,2024-01-01
320,Paulo Henrique,SP,303.97,630.99,307.11,670.59,2023-01-01
321,Samuel Carvalho,BA,310.29,787.89,704.42,864.32,2022-01-01
322,Diego Alves,RJ,614.63,444.58,671.87,476.69,2023-01-01
323,Isabela Duarte,SC,347.41,875.58,575.4,470.25,2022-01-01
324,João Pedro,RJ,692.24,814.93,755.75,365.45,2024-01-01
325,Mariana Freitas,GO,585.6,682.05,721.71,357.88,2024-01-01
326,Karen Ribeiro,PE,886.4,884.3,836.87,943.41,2022-01-01
327,Gabriela Costa,PE,585.3,327.94,344.61,947.91,2021-01-01
328,Felipe Martins,PR,309.39,424.29,386.51,874.48,2024-01-01
329,Carla Mendes,BA,397.47,444.28,800.79,572.41,2023-01-01
330,Mariana Freitas,MG,774.3,713.59,347.06,821.82,2023-01-01
331,Bruno Lima,RJ,562.25,803.2,504.36,838.3,2024-01-01
334,Carla Mendes,RJ,460.78,528.0,770.33,407.99,2024-01-01
335,Karen Ribeiro,PR,363.93,303.12,484.96,551.94,2023-01-01
336,Diego Alves,MG,352.38,558.59,634.19,658.71,2021-01-01
339,Tatiane Moraes,GO,401.75,528.44,383.3,510.79,2024-01-01
340,Eduarda Rocha,RJ,400.32,465.58,479.85,847.87,2023-01-01
341,Isabela Duarte,ES,732.54,597.48,670.0,620.5,2022-01-01
342,João Pedro,SP,869.29,499.33,672.12,862.85,2023-01-01
343,Olivia Nogueira,PR,558.37,794.12,690.62,716.08,2023-01-01
344,Karen Ribeiro,PE,868.37,420.51,488.51,975.2,2023-01-01
345,João Pedro,RS,880.66,769.18,495.53,496.21,2024-01-01
346,Lucas Teixeira,RJ,859.24,419.88,898.36,425.95,2021-01-01
347,Olivia Nogueira,ES,563.07,474.8,715.7,873.28,2024-01-01
348,Paulo Henrique,MG,680.0,445.21,695.2,800.67,2024-01-01
349,Carla Mendes,RS,894.42,587.54,540.48,654.63,2024-01-01
350,Samuel Carvalho,SP,774.43,515.72,837.3,675.83,2021-01-01
351,Diego Alves,ES,694.56,513.01,688.2,331.01,2024-01-01
352,Karen Ribeiro,SC,363.57,359.16,433.2,822.8,2022-01-01
353,Olivia Nogueira,PR,534.68,763.41,653.15,650.33,2023-01-01
354,Ana Souza,RS,362.73,549.59,877.04,381.25,2022-01-01
355,Lucas Teixeira,BA,505.84,770.56,612.67,543.81,2021-01-01
356,Olivia Nogueira,RS,491.35,480.16,786.11,380.56,2023-01-01
357,Diego Alves,MG,857.95,744.29,609.6,686.34,2023-01-01
358,Samuel Carvalho,SC,875.08,439.11,543.03,429.12,2024-01-01
359,Mariana Freitas,SP,742.43,829.86,569.75,600.69,2021-01-01
360,Gabriela Costa,ES,467.01,722.26,777.6,704.14,2022-01-01
361,Lucas Teixeira,PR,418.24,368.37,702.42,642.64,2023-01-01
362,Vinicius Araujo,SC,666.79,652.2,508.75,891.86,2022-01-01
363,João Pedro,PE,654.1,703.27,487.91,467.0,2021-01-01
364,Felipe Martins,PR,716.06,606.49,550.94,396.51,2024-01-01
365,Nicolas Pires,MG,592.0,622.43,851.5,951.49,2022-01-01
366,Samuel Carvalho,MG,593.79,384.18,488.75,615.7,2021-01-01
367,Lucas Teixeira,SP,590.77,417.08,530.37,693.11,2024-01-01
369,Henrique Barros,BA,319.62,434.91,473.2,846.52,2024-01-01
370,Samuel Carvalho,GO,367.93,368.52,765.07,876.3,2023-01-01
371,Samuel Carvalho,SP,756.0,564.82,431.13,597.61,2022-01-01
372,João Pedro,SP,569.84,509.15,790.04,607.35,2021-01-01
373,Henrique Barros,ES,786.42,652.75,510.38,797.53,2024-01-01
374,Felipe Martins,PE,383.54,423.97,424.17,341.55,2023-01-01
375,Samuel Carvalho,BA,658.11,401.03,887.4,504.84,2023-01-01
376,Renata Batista,RJ,381.35,750.06,546.96,341.5,2023-01-01
377,Eduarda Rocha,MG,449.81,726.84,797.09,833.03,2024-01-01
378,Paulo Henrique,MG,646.46,461.23,548.54,616.39,2021-01-01
379,Mariana Freitas,GO,749.88,716.82,826.39,618.29,2024-01-01
380,Karen Ribeiro,PE,301.48,764.48,739.63,811.65,2024-01-01
381,Lucas Teixeira,RJ,777.41,538.63,880.88,877.39,2024-01-01
382,Isabela Duarte,PR,797.01,502.65,646.76,696.3,2024-01-01
384,Olivia Nogueira,RS,300.41,874.82,421.39,782.01,2022-01-01
385,João Pedro,MG,824.65,825.96,356.0,552.3,2021-01-01
386,Lucas Teixeira,MG,331.07,675.36,735.59,828.66,2024-01-01
387,Carla Mendes,RJ,300.65,586.08,379.62,458.33,2024-01-01
388,Ana Souza,SP,717.36,790.27,892.89,595.62,2022-01-01
389,Paulo Henrique,RJ,437.37,353.6,783.57,372.24,2023-01-01
390,João Pedro,MG,529.63,788.02,824.7,749.1,2022-01-01
392,Eduarda Rocha,SC,669.65,565.43,430.35,927.62,2022-01-01
393,Diego Alves,PE,738.01,510.92,557.63,853.75,2022-01-01
394,Isabela Duarte,RJ,448.9,660.6,732.71,499.44,2021-01-01
395,João Pedro,ES,610.65,605.71,748.71,506.88,2021-01-01
396,Henrique Barros,RS,531.53,444.65,682.85,349.71,2021-01-01
397,Lucas Teixeira,PR,379.19,816.49,641.03,555.79,2022-01-01
398,Paulo Henrique,RJ,310.01,340.52,457.31,327.88,2021-01-01
399,Mariana Freitas,GO,471.89,727.58,760.27,596.5,2024-01-01
400,Carla Mendes,GO,622.59,391.61,350.16,355.32,2022-01-01
401,Eduarda Rocha,GO,496.05,651.86,757.93,754.89,2021-01-01
402,João Pedro,SC,737.98,807.88,334.74,360.35,2024-01-01
403,Diego Alves,RS,667.38,333.02,699.65,760.64,2022-01-01
405,Felipe Martins,PR,376.16,768.67,461.26,920.49,2021-01-01
406,Karen Ribeiro,SC,463.19,338.32,727.39,703.66,2021-01-01
407,Paulo Henrique,RS,606.47,333.26,815.62,416.82,2022-01-01
408,Isabela Duarte,RJ,836.56,704.47,369.2,818.55,2021-01-01
410,Samuel Carvalho,SC,434.71,448.96,849.51,523.95,2021-01-01
411,Tatiane Moraes,PR,371.64,704.0,331.6,456.23,2021-01-01
412,Mariana Freitas,RJ,826.19,819.62,764.12,517.49,2021-01-01
413,Samuel Carvalho,RS,304.78,420.4,638.28,512.74,2022-01-01
414,Olivia Nogueira,PR,655.01,596.02,763.57,436.8,2022-01-01
